Close,MA_5,MA_10,Daily_Return,Tomorrow,Target
1684.199951171875,1694.839990234375,1705.6800048828125,-0.01185172081250807,1721.800048828125,1
1721.800048828125,1702.360009765625,1704.5300048828126,0.022325198163132498,1709.9000244140625,0
1709.9000244140625,1705.4400146484375,1703.1700073242187,-0.006911385803573311,1695.300048828125,0
1695.300048828125,1703.12001953125,1701.510009765625,-0.008538496624058811,1704.4000244140625,1
1704.4000244140625,1703.12001953125,1700.9000122070313,0.005367766957965925,1713.9000244140625,1
1713.9000244140625,1709.0600341796876,1701.9500122070312,0.005573808885191767,1738.0999755859375,1
1738.0999755859375,1712.32001953125,1707.3400146484375,0.01411981494086767,1753.4000244140625,1
1753.4000244140625,1721.02001953125,1713.2300170898438,0.00880274382546209,1731.800048828125,0
1731.800048828125,1728.32001953125,1715.72001953125,-0.01231890913949063,1744.199951171875,1
1744.199951171875,1736.2800048828126,1719.7000122070312,0.007160123567464316,1750.5999755859375,1
1750.5999755859375,1743.6199951171875,1726.3400146484375,0.0036693180789062474,1720.5,0
1720.5,1740.1,1726.210009765625,-0.017194091172006765,1734.5999755859375,1
1734.5999755859375,1736.339990234375,1728.6800048828125,0.008195277876162477,1704.800048828125,0
1704.800048828125,1730.939990234375,1729.6300048828125,-0.017179711274783238,1710.300048828125,1
1710.300048828125,1724.160009765625,1730.2200073242188,0.003226184797320286,1713.300048828125,1
1713.300048828125,1716.7000244140625,1730.160009765625,0.0017540781818112805,1736.9000244140625,1
1736.9000244140625,1719.980029296875,1730.0400146484376,0.013774572411924924,1737.800048828125,1
1737.800048828125,1720.6200439453125,1728.4800170898438,0.0005181785948595863,1725.199951171875,0
1725.199951171875,1724.7000244140625,1727.8200073242188,-0.007250602659809369,1697.800048828125,0
1697.800048828125,1722.2000244140625,1723.1800170898437,-0.015882160398357326,1718.9000244140625,1
1718.9000244140625,1723.32001953125,1720.0100219726562,0.012427833065796756,1676.199951171875,0
1676.199951171875,1711.1800048828125,1715.5800170898438,-0.02484151063802742,1698.300048828125,1
1698.300048828125,1703.2800048828126,1711.9500244140625,0.013184642823070858,1714.699951171875,1
1714.699951171875,1701.1800048828125,1712.9400146484375,0.009656657759072873,1713.300048828125,0
